"Question ID","Question","Category","Expected Source","Retrieved Source","Answer","Citation Present (Y/N)","Unsupported Claim (Y/N)","Clinical Risk Level (Low/Medium/High)","Reviewer Notes","Pass/Fail"
"Q001","What is the first-line treatment for hypertension in adults?","Clinical guideline","JNC 8 / AHA 2023","","","Y","N","","","",
"Q002","What are the contraindications for metformin?","Drug database","FDA prescribing info","","","Y","N","","","",
"Q003","What is the recommended antibiotic for community-acquired pneumonia?","Clinical guideline","IDSA/ATS 2019","","","Y","N","","","",
"Q004","What is the dosing schedule for insulin glargine?","Drug database","Prescribing information","","","Y","N","","","",
"Q005","What are the red flag symptoms for stroke?","Clinical guideline","AHA/ASA guidelines","","","Y","N","","","",
"Q006","","","","","","","","","","",
"Q007","","","","","","","","","","",
"Q008","","","","","","","","","","",
"Q009","","","","","","","","","","",
"Q010","","","","","","","","","","",
"Q011","","","","","","","","","","",
"Q012","","","","","","","","","","",
"Q013","","","","","","","","","","",
"Q014","","","","","","","","","","",
"Q015","","","","","","","","","","",
"Q016","","","","","","","","","","",
"Q017","","","","","","","","","","",
"Q018","","","","","","","","","","",
"Q019","","","","","","","","","","",
"Q020","","","","","","","","","","",
"Q021","","","","","","","","","","",
"Q022","","","","","","","","","","",
"Q023","","","","","","","","","","",
"Q024","","","","","","","","","","",
"Q025","","","","","","","","","","",
"Q026","","","","","","","","","","",
"Q027","","","","","","","","","","",
"Q028","","","","","","","","","","",
"Q029","","","","","","","","","","",
"Q030","","","","","","","","","","",
"Q031","","","","","","","","","","",
"Q032","","","","","","","","","","",
"Q033","","","","","","","","","","",
"Q034","","","","","","","","","","",
"Q035","","","","","","","","","","",
"Q036","","","","","","","","","","",
"Q037","","","","","","","","","","",
"Q038","","","","","","","","","","",
"Q039","","","","","","","","","","",
"Q040","","","","","","","","","","",
"Q041","","","","","","","","","","",
"Q042","","","","","","","","","","",
"Q043","","","","","","","","","","",
"Q044","","","","","","","","","","",
"Q045","","","","","","","","","","",
"Q046","","","","","","","","","","",
"Q047","","","","","","","","","","",
"Q048","","","","","","","","","","",
"Q049","","","","","","","","","","",
"Q050","","","","","","","","","","",
